,timestamp,name,value,meta.description,meta.host,meta.job,meta.missing,meta.node,meta.plugin,meta.sensor,meta.task,meta.units,meta.vsn,meta.zone,meta.applicationId,meta.applicationName,meta.devAddr,meta.devEui,meta.deviceName,meta.deviceProfileId,meta.deviceProfileName,meta.serial_number_tag,meta.tenantId,meta.tenantName,meta.channel,meta.image_frac,meta.input,meta.nsegments_asked,meta.nsegments_found,meta.quality,meta.seg_id,meta.seg_rank,meta.seg_size,meta.name,meta.camera,meta.gatewayId,meta.type,meta.cpu,meta.mode,meta.device,meta.fstype,meta.mountpoint,meta.chip,meta.server,meta.severity,meta.filename,meta.loop_num,meta.position
27460,2024-08-07 16:05:29.151836541+00:00,sys.mem.slab,2528948224,,000048b02d05a1c6.ws-nxcore,,,000048b02d05a1c6,,,,,W027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23221,2024-08-07 16:06:07.766163151+00:00,sys.load15,0.32,,0000dca632a307b6.ws-rpi,,,000048b02d0766d2,,,,,W014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34229,2024-08-07 16:05:23.768860271+00:00,sys.net.tx_packets,0,,000048b02d3afdcd.ws-nxagent,,,000048b02dd3c76e,,,,,W0A4,,,,,,,,,,,,,,,,,,,,,,,,,,,dummy0,,,,,,,,
35188,2024-08-07 16:04:57.424790881+00:00,sys.net.tx_packets,32823164,,000048b02dd3c296.ws-nxcore,,,000048b02dd3c296,,,,,W09F,,,,,,,,,,,,,,,,,,,,,,,,,,,wifi0,,,,,,,,
28494,2024-08-07 16:05:50.300800553+00:00,sys.mem.total,33343115264,,00002cea7fa0972c.sb-core,,,00002cea7fa0972c,,,,,V049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,2024-08-07 16:06:14.509822530+00:00,iio.in_humidityrelative_input,63.205,,0000e45f012e378d.ws-rpi,Pluginctl,,000048b02dd3c51f,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,,W099,shield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39213,2024-08-07 15:27:43.584216064+00:00,sys.sanity_status.rpi_mic,0,,000048b02d3ae27a.ws-nxcore,,,000048b02d3ae27a,,,,,W020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatal,,,
30945,2024-08-07 16:04:48.667627764+00:00,sys.net.rx_bytes,4378557710,,000048b02dd3c5dc.ws-nxagent,,,000048b02dd3c814,,,,,W0B3,,,,,,,,,,,,,,,,,,,,,,,,,,,wan0,,,,,,,,
42439,2024-08-07 15:59:01.679692577+00:00,upload,https://storage.sagecontinuum.org/api/v1/data/mobotix-area-scan-w020-1810/sage-mobotix-area-scan-w020-0.23.11.02/000048b02d3ae27a/1723046341679692577-6144x2048_position17.jpg,,0000e45f0198f3d7.ws-rpi,mobotix-area-scan-w020-1810,,000048b02d3ae27a,registry.sagecontinuum.org/bhupendraraut/mobotix-scan:0.23.11.02,,mobotix-area-scan-w020,,W020,shield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6144x2048_position17.jpg,1,17
18891,2024-08-07 16:03:48.285261340+00:00,sys.freq.cpu_perc,6,,0000dca632e9bc07.ws-rpi,,,000048b02d3af41e,,,,,W07B,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
7438,2024-08-07 16:06:39.636379900+00:00,sys.cpu_seconds,38620.26,,000048b02dd3c67e.ws-nxagent,,,000048b02dd3c636,,,,,W0B4,,,,,,,,,,,,,,,,,,,,,,,,,0,system,,,,,,,,,
22194,2024-08-07 16:05:43.866949088+00:00,sys.hwmon,36,,00002cea7fa0898b.sb-core,,,00002cea7fa0898b,,temp5,,,V045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,platform_coretemp_0,,,,,
40557,2024-08-07 15:09:43.152710656+00:00,sys.sanity_status.wes_node_influxdb_loader,0,,000048b02d35a87e.ws-nxcore,,,000048b02d35a87e,,,,,W08E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatal,,,
