,timestamp,name,value,meta.host,meta.job,meta.node,meta.plugin,meta.sensor,meta.task,meta.vsn,meta.zone
2172,2024-08-07 16:50:43.620566389+00:00,env.pressure,98936,0000d83add18cb30.ws-rpi,Pluginctl,000048b02d15bda5,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W022,shield
2162,2024-08-07 16:50:31.117151362+00:00,env.pressure,101841,0000d83add0dbd13.ws-rpi,Pluginctl,000048b02dd3c637,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W0BE,shield
2166,2024-08-07 16:50:29.146768568+00:00,env.pressure,98974,0000d83add0dbd5e.ws-rpi,Pluginctl,000048b02dd3c296,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W09F,shield
2128,2024-08-07 16:50:36.520600926+00:00,env.pressure,79957.453125,000048b02d3ae2f4.ws-nxcore,Pluginctl,000048b02d3ae2f4,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W084,core
2545,2024-08-07 16:50:53.397039785+00:00,env.temperature,25.67,0000dca632a3058b.ws-rpi,Pluginctl,000048b02d15bc7c,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W023,shield
2156,2024-08-07 16:50:35.902073314+00:00,env.pressure,98949.304687,000048b02dd3c6f0.ws-nxcore,Pluginctl,000048b02dd3c6f0,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0B0,core
2406,2024-08-07 16:50:36.632779914+00:00,env.relative_humidity,17.593,000048b02dd3c5bd.ws-nxcore,Pluginctl,000048b02dd3c5bd,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0B8,core
2518,2024-08-07 16:50:50.857317063+00:00,env.temperature,45.18,000048b02dd3c5e0.ws-nxcore,Pluginctl,000048b02dd3c5e0,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0B1,core
2404,2024-08-07 16:50:56.628517931+00:00,env.relative_humidity,17.001,000048b02dd3c51f.ws-nxcore,Pluginctl,000048b02dd3c51f,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W099,core
2435,2024-08-07 16:50:43.981282357+00:00,env.relative_humidity,55.004,0000dca632a305c8.ws-rpi,Pluginctl,000048b02d05a1c7,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W026,shield
2489,2024-08-07 16:50:41.661118505+00:00,env.temperature,46.34,000048b02d35a9bf.ws-nxcore,Pluginctl,000048b02d35a9bf,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W07F,core
2383,2024-08-07 16:50:32.871687080+00:00,env.relative_humidity,44.643,000048b02d3ae2e2.ws-nxcore,Pluginctl,000048b02d3ae2e2,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W041,core
2112,2024-08-07 16:50:29.896322591+00:00,env.pressure,100254.046875,000048b02d15bc87.ws-nxcore,Pluginctl,000048b02d15bc87,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W019,core
2501,2024-08-07 16:50:33.120747552+00:00,env.temperature,53.01,000048b02d3ae31a.ws-nxcore,Pluginctl,000048b02d3ae31a,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W094,core
2509,2024-08-07 16:50:28.155941687+00:00,env.temperature,45.48,000048b02d3af460.ws-nxcore,Pluginctl,000048b02d3af460,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W06E,core
2407,2024-08-07 16:50:50.850674680+00:00,env.relative_humidity,17.711,000048b02dd3c5e0.ws-nxcore,Pluginctl,000048b02dd3c5e0,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0B1,core
2436,2024-08-07 16:50:34.938423906+00:00,env.relative_humidity,0,0000dca632a306d8.ws-rpi,Pluginctl,000048b02d15c31a,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W01A,shield
2550,2024-08-07 16:50:37.279392848+00:00,env.temperature,25.08,0000dca632de1039.ws-rpi,Pluginctl,000048b02d3ae319,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W080,shield
2163,2024-08-07 16:50:29.172666590+00:00,env.pressure,61366.99999999999,0000d83add0dbd2e.ws-rpi,Pluginctl,000048b02dd3c5b3,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W0A7,shield
2538,2024-08-07 16:50:53.459355253+00:00,env.temperature,26.39,0000d83add18b39c.ws-rpi,Pluginctl,000048b02dd3c64a,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W0B6,shield
2391,2024-08-07 16:50:41.238765002+00:00,env.relative_humidity,17.8,000048b02d3ae31c.ws-nxcore,Pluginctl,000048b02d3ae31c,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W065,core
2139,2024-08-07 16:50:50.086815450+00:00,env.pressure,100158.40234300001,000048b02d3af45d.ws-nxcore,Pluginctl,000048b02d3af45d,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W068,core
2157,2024-08-07 16:50:32.983685887+00:00,env.pressure,98966.863281,000048b02dd3c722.ws-nxcore,Pluginctl,000048b02dd3c722,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0B9,core
2478,2024-08-07 16:50:38.291993795+00:00,env.temperature,45.72,000048b02d15bc73.ws-nxcore,Pluginctl,000048b02d15bc73,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W024,core
2462,2024-08-07 16:50:45.569544003+00:00,env.relative_humidity,51.12,0000e45f01453930.ws-rpi,Pluginctl,000048b02d3ae2f4,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W084,shield
2570,2024-08-07 16:50:32.075805635+00:00,env.temperature,-127.82,0000e45f014506ce.ws-rpi,Pluginctl,000048b02d3af460,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W06E,shield
2547,2024-08-07 16:50:34.936091117+00:00,env.temperature,-131.09,0000dca632a306d8.ws-rpi,Pluginctl,000048b02d15c31a,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W01A,shield
2465,2024-08-07 16:50:43.356058761+00:00,env.relative_humidity,60.882,0000e45f01c27bb0.ws-rpi,Pluginctl,000048b02d15bda5,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W022,enclosure
2146,2024-08-07 16:50:56.625486253+00:00,env.pressure,99491.80859300001,000048b02dd3c51f.ws-nxcore,Pluginctl,000048b02dd3c51f,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W099,core
2463,2024-08-07 16:50:34.015181442+00:00,env.relative_humidity,58.659,0000e45f014ffa19.ws-rpi,Pluginctl,000048b02d3ae33b,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W07A,shield
2540,2024-08-07 16:50:30.792595632+00:00,env.temperature,25.42,0000d83add18ca94.ws-rpi,Pluginctl,000048b02dd3c543,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W096,shield
2430,2024-08-07 16:50:43.621291306+00:00,env.relative_humidity,57.498,0000d83add18cb30.ws-rpi,Pluginctl,000048b02d15bda5,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W022,shield
